"Id","trans_date_trans_time","cc_num","merchant","category","amt","first","last","gender","street","city","state","zip","lat","long","city_pop","job","dob","trans_num","unix_time","merch_lat","merch_long","is_fraud"
"205743","01/09/2020 08:22","5596350000000000.0","fraud_Berge LLC","gas_transport","72.18","Joseph","Moody","M","5901 Foster Pine","Kenner","LA","70062","29.9912","-90.2479","68211","Engineer, petroleum","23/04/1941","5223f3d810e0083482e47a5c3a1eba94","1378023768","30.424083","-90.080958","0"
"465349","12/12/2020 07:42","4.31137e+18","fraud_Eichmann, Bogan and Rodriguez","gas_transport","36.66","Phillip","Delacruz","M","26678 Lisa Locks Apt. 904","Iliff","CO","80736","40.7692","-103.0968","648","Community arts worker","21/09/1969","25f3a9b8613a9745c5802031bd3a2c62","1386834132","39.871664","-103.457961","0"
"17312","27/06/2020 13:03","2264940000000000.0","fraud_Ankunding-Carroll","travel","1.74","Juan","Sherman","M","5939 Garcia Forges Suite 297","San Antonio","TX","78214","29.3641","-98.4924","1595797","Land","17/10/1995","2a6f3f7c697bc721a80078aefd68d857","1372338223","28.456118","-98.491336","0"
"234968","14/09/2020 04:12","2224100000000000.0","fraud_Schumm, Bauch and Ondricka","grocery_pos","140.99","Sheri","Thomas","F","019 Kimberly Light Apt. 039","Kings Bay","GA","31547","30.7906","-81.5607","1293","Naval architect","11/09/1963","fcd03eb50b00fe682d8a47f3bec089a6","1379131971","31.292136","-82.002506","0"
"194255","28/08/2020 17:40","3527540000000000.0","fraud_Gerlach Inc","shopping_net","1722.19","Teresa","Stein","F","2838 White Fields Apt. 473","Brunson","SC","29911","32.9413","-81.1807","1725","Social researcher","05/12/1974","d3105e269285b69b334e99433d6a6585","1377711655","33.06762","-80.20109","0"
"250314","20/09/2020 22:26","3501510000000000.0","fraud_Gaylord-Powlowski","home","34.08","Frank","Anderson","M","0611 Stafford Valley Suite 504","Naples","FL","34112","26.1184","-81.7361","276002","Programme researcher, broadcasting/film/video","02/01/1979","65c4030735fd9914cb8164f38c741bf3","1379716005","26.325439","-81.17876","0"
"491809","17/12/2020 21:08","30273000000000.0","fraud_Schaefer, Fay and Hilll","entertainment","50.2","Andrew","Patterson","M","06959 Stephen Branch Suite 246","Thida","AR","72165","35.5762","-91.4539","111","Careers information officer","13/06/2000","11f6f5dec1fff1620eb9561c58653eb4","1387314510","36.512552","-91.484154","0"
"81552","19/07/2020 21:28","2305340000000000.0","fraud_Roberts, Ryan and Smith","personal_care","3.32","Jeffrey","Rice","M","21447 Powell Circle","Moulton","IA","52572","40.6866","-92.6833","1132","Probation officer","14/02/1961","1439a98af38b257894e0d1f6463814cf","1374269317","40.125409","-92.680702","0"
"340015","30/10/2020 03:53","3592930000000000.0","fraud_Reichel Inc","entertainment","5.47","Dylan","Garcia","M","923 Jordan Road","Afton","MN","55001","44.8696","-92.8234","2916","Barrister's clerk","29/06/1935","96dd40db0c5e975121a0c854f566edb6","1383105215","45.663351","-93.477805","0"
"170293","19/08/2020 17:42","4586810000000000.0","fraud_O'Hara-Wilderman","food_dining","1.23","Michelle","Gregory","F","6983 Carrillo Isle","Edisto Island","SC","29438","32.5486","-80.307","2408","Sales professional, IT","05/07/1997","0fce406c697718418e90bcffdb74d86c","1376934169","31.731266","-80.551805","0"
"473244","13/12/2020 23:18","30270400000000.0","fraud_O'Reilly, Mohr and Purdy","home","2.12","Lisa","Lin","F","908 Brooks Brook","Lomax","IL","61454","40.6761","-91.0391","725","Environmental consultant","28/11/1972","a54c02e266ce153a0e70d619314af3dd","1386976720","41.66044","-90.760898","0"
"335737","27/10/2020 18:20","3526830000000000.0","fraud_Rau-Robel","kids_pets","121.05","Nathan","Massey","M","5783 Evan Roads Apt. 465","Falmouth","MI","49632","44.2529","-85.017","1126","Furniture designer","06/07/1955","8870380d6c2ddaf635275ad68b02c39b","1382898030","43.527108","-84.443894","0"
"32754","02/07/2020 12:11","3553630000000000.0","fraud_Quitzon, Green and Bashirian","shopping_pos","3.09","Sharon","Johnson","F","7202 Jeffrey Mills","Conway","WA","98238","48.34","-122.3456","85","Research officer, political party","01/09/1984","f6c4d1adf2f5515ac95fe3f22e4d81a7","1372767079","48.537334","-121.53659","0"
"499801","19/12/2020 23:38","4173950000000000.0","fraud_Parker-Kunde","personal_care","112.12","Stephen","Marshall","M","47144 Roberts Keys","Monmouth Beach","NJ","7750","40.333","-73.9809","3279","Health promotion specialist","05/10/1978","2399da5422ee65c857f056cd08571356","1387496299","39.44191","-74.353725","0"
"196931","29/08/2020 21:13","4658490000000000.0","fraud_Labadie LLC","personal_care","8.63","Tara","Richards","F","4879 Cristina Station","Keisterville","PA","15449","39.9636","-79.7853","184","Systems developer","04/11/1945","035d2b25ee3e72fc6ac77b5dc177b438","1377810785","40.64995","-79.626155","0"
"504873","20/12/2020 22:31","3535810000000000.0","fraud_Ullrich Ltd","kids_pets","52.64","Matthew","Myers","M","4936 Michelle Points","Tower Hill","IL","62571","39.39","-88.9597","1532","Radio broadcast assistant","09/01/1980","244a082c1be70d25b9dd818dca54bbb1","1387578680","39.504139","-89.886173","0"
"309459","16/10/2020 20:24","4.5031e+18","fraud_Botsford and Sons","home","7.22","Katherine","Tucker","F","670 Le Meadows Suite 250","Lakeland","FL","33811","27.9865","-82.0139","237282","Clothing/textile technologist","03/07/1979","14cf3425d999f7ff4b4bf38dd0141e88","1381955053","27.101717","-81.456678","0"
"239845","15/09/2020 17:07","375975000000000.0","fraud_Dare-Gibson","health_fitness","67.91","Roberta","Mccarthy","F","94431 Matthew Mall Suite 296","Plymouth","CT","6782","41.6611","-73.0449","2376","Herpetologist","06/04/1973","d1b5a909046744c0200ed169a4929444","1379264866","42.015435","-72.994345","0"
"201681","31/08/2020 08:22","501803000000.0","fraud_Tillman, Dickinson and Labadie","gas_transport","63.71","Robert","Flores","M","3277 Fields Meadows Apt. 790","Greenview","CA","96037","41.5403","-122.9366","308","Call centre manager","20/09/1958","d4510b1d5a4ac24b1807f4345891e802","1377937370","42.306285","-122.010232","0"
"302021","13/10/2020 04:33","581686000000.0","fraud_Mosciski, Gislason and Mertz","grocery_pos","79.22","Larry","House","M","911 Sabrina Trafficway","Cochranton","PA","16314","41.5205","-80.0573","5507","Retail merchandiser","28/07/1973","307d8ea31ee02ee3b6a57d2448916cc8","1381638812","41.45726","-79.469439","0"
"226406","10/09/2020 05:41","30143700000000.0","fraud_Heathcote LLC","shopping_net","6.35","Nicholas","Thornton","M","5270 Megan Burg Suite 756","Halma","MN","56729","48.6669","-96.5969","140","Embryologist, clinical","06/01/1942","09d19846ba328c7792818596eece2f23","1378791691","48.443258","-96.738491","0"
"288916","07/10/2020 04:07","213127000000000.0","fraud_Hayes, Marquardt and Dibbert","misc_net","8.85","Christopher","Luna","M","242 Brian Mountain","Laredo","TX","78040","27.5155","-99.4986","248858","Video editor","28/01/1971","6ce7b88606375fab8a42a2e58561514c","1381118859","28.438969","-100.128915","0"
"224596","09/09/2020 00:28","345060000000000.0","fraud_Reilly, Heaney and Cole","gas_transport","54.38","Brian","Perez","M","78652 Scott Ports","Ashfield","MA","1330","42.5232","-72.811","1506","Production assistant, radio","03/04/1960","c258da972aec4798b7c8e3747e120cac","1378686521","41.982639","-73.757232","0"
"392451","22/11/2020 12:22","3587960000000000.0","fraud_Kilback and Sons","entertainment","127.44","Kathy","Hughes","F","02110 Lucas Freeway Suite 517","Battle Creek","IA","51006","42.3327","-95.6045","1075","Teacher, early years/pre","02/01/1997","00b715d8dbccde96add1867db01602c6","1385122966","42.40654","-94.84807","0"
"385586","18/11/2020 18:40","4.5031e+18","fraud_Bernier and Sons","kids_pets","24.11","Katherine","Tucker","F","670 Le Meadows Suite 250","Lakeland","FL","33811","27.9865","-82.0139","237282","Clothing/textile technologist","03/07/1979","1cbec425de7d02a1433a8426ecd9f4a6","1384800004","28.520168","-82.165702","0"
"540707","28/12/2020 16:19","676314000000.0","fraud_Dare-Gibson","health_fitness","33.04","Ellen","Carrillo","F","9431 Amanda Mills","Odessa","MO","64076","38.9829","-93.9757","9512","Clinical research associate","31/12/1972","0135dcb96f1097a5c4874d0cb7086dc3","1388247588","39.264423","-93.204759","0"
"135612","07/08/2020 22:28","3564840000000000.0","fraud_Fahey Inc","kids_pets","155.36","Robert","Ashley","M","1250 Christopher Prairie Suite 016","Port Costa","CA","94569","38.046","-122.1866","198","Armed forces training and education officer","31/03/1959","6faaacb88b02f42b1c04aff9010ce0aa","1375914530","38.913556","-121.968502","0"
"518740","23/12/2020 09:05","676195000000.0","fraud_Friesen-Stamm","gas_transport","66.02","Brandy","Quinn","F","9734 Beard Fields Suite 885","Altair","TX","77412","29.6047","-96.5249","106","Editor, film/video","24/07/1983","8ac1ecab64bf60062b75ec4e98414613","1387789555","29.551497","-97.01226","0"
"96310","25/07/2020 01:04","378006000000000.0","fraud_Gutmann Ltd","grocery_net","50.08","Christopher","Matthews","M","433 John Heights Apt. 849","Etlan","VA","22719","38.5095","-78.2638","395","Senior tax professional/tax inspector","07/01/1982","bd42c947414d23e0822b66415b97117f","1374714250","37.59273","-78.036925","0"
"57789","11/07/2020 15:17","4450830000000000.0","fraud_Romaguera, Cruickshank and Greenholt","shopping_net","3.56","Donna","Davis","F","6760 Donovan Lakes","Clayton","OK","74536","34.5906","-95.38","1760","Occupational psychologist","20/01/1972","44853478721b034528c546dd0a9c4df1","1373555824","34.971989","-94.705151","0"
"75875","17/07/2020 20:42","676292000000.0","fraud_Schulist Ltd","food_dining","37.92","Lisa","Fitzpatrick","F","58761 Brewer Rapids","Skytop","PA","18357","41.2336","-75.2389","104","Financial trader","25/08/1927","c93175c95c723c7a9a219ccfc2dcacc5","1374093763","41.70658","-75.73186","0"
"271293","29/09/2020 14:51","2254800000000000.0","fraud_Ankunding LLC","shopping_net","2.07","Barbara","Nelson","F","7337 Browning Falls Suite 027","Valdosta","GA","31605","30.946","-83.2474","94325","Educational psychologist","08/09/1987","775187987081833807dd473aabf655c3","1380466277","30.917637","-82.424682","0"
"382164","17/11/2020 07:14","676246000000.0","fraud_Hickle Group","shopping_pos","6.18","Ashley","Blanchard","F","292 Lowe Dam Suite 858","West Palm Beach","FL","33417","26.7197","-80.1248","459921","Historic buildings inspector/conservation officer","14/06/1960","e13ade332512bdc899744796949eaff2","1384672441","25.758615","-80.131095","0"
"140974","09/08/2020 19:58","675990000000.0","fraud_Christiansen-Gusikowski","misc_pos","6.54","Amanda","Spencer","F","6682 Green Forks","Ogdensburg","NJ","7439","41.0767","-74.5982","2456","Senior tax professional/tax inspector","13/03/1994","6b200dd430be5ae2bb1b0214c71e89c4","1376078332","40.203661","-74.641806","0"
"405084","27/11/2020 23:17","6011380000000000.0","fraud_Emmerich-Rau","personal_care","1.67","Martin","Duarte","M","6251 Payne Flats Apt. 581","Luzerne","MI","48636","44.6001","-84.2931","864","General practice doctor","04/05/1942","7b96ab2fd9ed45172d2f39df5062836e","1385594246","44.077668","-84.259572","0"
"140216","09/08/2020 15:35","2254920000000000.0","fraud_McCullough LLC","misc_pos","9.84","Margaret","Gibson","F","382 Williams Stream Suite 197","Scotland","MD","20687","38.0828","-76.3477","313","Insurance underwriter","26/03/1976","fa253800c3d3a5d7e844eee598afa0ef","1376062504","37.810523","-76.403546","0"
"25773","29/06/2020 22:06","4874020000000000.0","fraud_Bogisich-Weimann","kids_pets","18.45","Lauren","Williams","F","065 Jones Stravenue","Lake Oswego","OR","97034","45.4093","-122.6847","42817","Planning and development surveyor","28/05/1982","82064b634478dff63cc992d236ce69af","1372543570","45.226589","-121.889471","0"
"413356","30/11/2020 15:43","4990490000000.0","fraud_Schaefer, Fay and Hilll","entertainment","75.7","Martin","Ford","M","56812 Francis Courts","Corriganville","MD","21524","39.6967","-78.8031","626","Energy engineer","13/12/1960","1f2a54c75891fa8676304a7d67254b16","1385826202","38.779691","-78.975244","0"
"119810","02/08/2020 13:27","4.76943e+18","fraud_Kling-Ernser","entertainment","140.75","Andrea","Cruz","F","26572 Hodge Villages Suite 512","Mifflin","PA","17058","40.5553","-77.4001","1909","Mining engineer","22/08/1954","c85dc3851fea6efadcbcc7e71d41f382","1375450066","39.883823","-78.328603","0"
"76669","18/07/2020 05:33","4.65318e+18","fraud_Huel-Langworth","misc_net","1.75","Robert","Hall","M","371 Anthony Trail Suite 354","Glade Spring","VA","24340","36.7779","-81.7676","5657","Clinical psychologist","29/04/1987","42c9c970e2ca2a0367279889ca9b9e06","1374125587","36.889535","-82.348895","0"
